Titre de tracé : 20011418;;;
#;Date;Heure  GMT+02:00;Moy. : Température  °C (LGR S/N: 20011418)
402;08/18/2020;18:00:00;16.427
403;08/18/2020;20:00:00;14.230
404;08/18/2020;22:00:00;12.401
405;08/19/2020;00:00:00;11.236
406;08/19/2020;02:00:00;10.357
407;08/19/2020;04:00:00;9.669
408;08/19/2020;06:00:00;8.978
409;08/19/2020;08:00:00;9.472
410;08/19/2020;10:00:00;14.900
411;08/19/2020;12:00:00;18.521
412;08/19/2020;14:00:00;20.234
413;08/19/2020;16:00:00;19.948
414;08/19/2020;18:00:00;16.903
415;08/19/2020;20:00:00;14.613
416;08/19/2020;22:00:00;13.269
417;08/20/2020;00:00:00;12.207
418;08/20/2020;02:00:00;11.431
419;08/20/2020;04:00:00;10.846
420;08/20/2020;06:00:00;10.455
421;08/20/2020;08:00:00;11.041
422;08/20/2020;10:00:00;16.141
423;08/20/2020;12:00:00;19.853
424;08/20/2020;14:00:00;22.333
425;08/20/2020;16:00:00;20.234
426;08/20/2020;18:00:00;18.426
427;08/20/2020;20:00:00;16.141
428;08/20/2020;22:00:00;14.517
429;08/21/2020;00:00:00;13.461
430;08/21/2020;02:00:00;12.594
431;08/21/2020;04:00:00;12.110
432;08/21/2020;06:00:00;11.528
433;08/21/2020;08:00:00;11.819
434;08/21/2020;10:00:00;16.808
435;08/21/2020;12:00:00;20.710
436;08/21/2020;14:00:00;22.333
437;08/21/2020;16:00:00;22.429
438;08/21/2020;18:00:00;19.472
439;08/21/2020;20:00:00;16.999
440;08/21/2020;22:00:00;15.569
441;08/22/2020;00:00:00;14.517
442;08/22/2020;02:00:00;13.750
443;08/22/2020;04:00:00;12.980
444;08/22/2020;06:00:00;12.304
445;08/22/2020;08:00:00;13.173
446;08/22/2020;10:00:00;13.269
447;08/22/2020;12:00:00;16.046
448;08/22/2020;14:00:00;17.284
449;08/22/2020;16:00:00;18.996
450;08/22/2020;18:00:00;16.427
451;08/22/2020;20:00:00;14.325
452;08/22/2020;22:00:00;13.076
453;08/23/2020;00:00:00;12.013
454;08/23/2020;02:00:00;11.139
455;08/23/2020;04:00:00;10.553
456;08/23/2020;06:00:00;9.866
457;08/23/2020;08:00:00;10.259
458;08/23/2020;10:00:00;14.325
459;08/23/2020;12:00:00;19.282
460;08/23/2020;14:00:00;21.855
461;08/23/2020;16:00:00;22.333
