Titre de tracé : 11015768;;;
#;Date Heure, GMT+02:00;Moy. : Température, °C (LGR S/N: 11015768);
297;08/03/2020;00:00:00;19.187
298;08/03/2020;02:00:00;18.045
299;08/03/2020;04:00:00;17.189
300;08/03/2020;06:00:00;16.713
301;08/03/2020;08:00:00;16.237
302;08/03/2020;10:00:00;16.618
303;08/03/2020;12:00:00;18.140
304;08/03/2020;14:00:00;19.092
305;08/03/2020;16:00:00;18.045
306;08/03/2020;18:00:00;15.760
307;08/03/2020;20:00:00;14.230
308;08/03/2020;22:00:00;13.461
309;08/04/2020;00:00:00;12.497
310;08/04/2020;02:00:00;11.722
311;08/04/2020;04:00:00;10.944
312;08/04/2020;06:00:00;10.846
313;08/04/2020;08:00:00;10.553
314;08/04/2020;10:00:00;12.207
315;08/04/2020;12:00:00;15.282
316;08/04/2020;14:00:00;17.665
317;08/04/2020;16:00:00;19.662
318;08/04/2020;18:00:00;18.996
319;08/04/2020;20:00:00;17.189
320;08/04/2020;22:00:00;16.237
321;08/05/2020;00:00:00;14.613
322;08/05/2020;02:00:00;13.654
323;08/05/2020;04:00:00;12.594
324;08/05/2020;06:00:00;11.819
325;08/05/2020;08:00:00;11.236
326;08/05/2020;10:00:00;12.594
327;08/05/2020;12:00:00;16.427
328;08/05/2020;14:00:00;21.282
329;08/05/2020;16:00:00;22.908
330;08/05/2020;18:00:00;21.664
331;08/05/2020;20:00:00;19.758
332;08/05/2020;22:00:00;18.236
333;08/06/2020;00:00:00;16.808
334;08/06/2020;02:00:00;15.664
335;08/06/2020;04:00:00;14.613
336;08/06/2020;06:00:00;13.750
337;08/06/2020;08:00:00;13.173
338;08/06/2020;10:00:00;14.709
339;08/06/2020;12:00:00;18.901
340;08/06/2020;14:00:00;24.062
341;08/06/2020;16:00:00;25.416
342;08/06/2020;18:00:00;23.869
343;08/06/2020;20:00:00;21.664
344;08/06/2020;22:00:00;19.853
345;08/07/2020;00:00:00;18.521
346;08/07/2020;02:00:00;17.189
347;08/07/2020;04:00:00;16.237
348;08/07/2020;06:00:00;15.473
349;08/07/2020;08:00:00;14.709
350;08/07/2020;10:00:00;16.427
351;08/07/2020;12:00:00;20.805
352;08/07/2020;14:00:00;25.513
353;08/07/2020;16:00:00;27.075
354;08/07/2020;18:00:00;25.222
355;08/07/2020;20:00:00;22.621
356;08/07/2020;22:00:00;20.615
357;08/08/2020;00:00:00;19.377
358;08/08/2020;02:00:00;18.331
359;08/08/2020;04:00:00;17.189
360;08/08/2020;06:00:00;16.427
361;08/08/2020;08:00:00;15.760
362;08/08/2020;10:00:00;17.665
363;08/08/2020;12:00:00;21.760
364;08/08/2020;14:00:00;26.585
365;08/08/2020;16:00:00;27.764
366;08/08/2020;18:00:00;26.000
367;08/08/2020;20:00:00;23.292
368;08/08/2020;22:00:00;21.187
369;08/09/2020;00:00:00;19.853
370;08/09/2020;02:00:00;18.901
371;08/09/2020;04:00:00;17.475
372;08/09/2020;06:00:00;16.903
373;08/09/2020;08:00:00;16.523
374;08/09/2020;10:00:00;18.236
