;species;year;BER_carrelet;BER_carrelet_rip;BER_clapier;BER_lac1;BER_lac2;EYCH_meleze;EYCH_torr_ABCD;EYCH_torr_EFG;MAUR_arpont;MAUR_planay_haut;MAUR_planay_torr_ABCD;MAUR_planay_torr_EFGH;VALL_gla_bl;VALL_mor_bas;VALL_mor_haut_ABCD;VALL_mor_haut_DE;VILL_bas;VILL_haut
Silene acaulis bryoides;Sil_bry;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Silene otites;Sil_oti;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene vulgaris prostrata;Sil_pro;2018;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Solidago virgaurea;Sol_vir;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sorbus aria;Sor_ari;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taraxacum sp.;Tar_sp.;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
Thesium alpinum;The_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thesium sp. ;The_sp.;2018;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thymus pullegiodes;Thy_pul;2018;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1
Tolpis staticifolia;Tol_sta;2018;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0
Trifolium badium;Tri_bad;2018;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1
Trifolium campestre villosum;Tri_vil;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Trifolium pallescens;Tri_pal;2018;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1
Trifolium saxatile;Tri_sax;2018;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Trifolium thalii;Tri_tha;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
Tussilago farfara;Tus_far;2018;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Veronica aphylla;Ver_aph;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Veronica fruticans;Ver_fru;2018;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1
Veronica sp.;Ver_sp.;2018;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Vincetoxicum hirrudinaria;Vin_hir;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Achillea nana;Ach_nan;2021;;;;;;0;0;0;0;0;;;0;0;1;0;1;0
Achnatherum calamagrostis;Ach_cal;2021;;;;;;0;0;1;0;0;;;0;0;0;0;0;0
Agrostis alpina;Agr_alp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Agrostis rupestris;Agr_rup;2021;;;;;;0;0;0;0;1;;;0;0;1;1;1;0
Agrostis sp.;Agr_sp. ;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Ajuga reptans;Aju_sp. ;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Alchemilla alpina;Alc_alp;2021;;;;;;1;0;0;1;0;;;1;0;1;1;0;0
Alcemilla sp1;Alc_sp1;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Alcemilla sp2;Alc_sp2;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Alnus viridis;Aln_vir;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Androsace adfinis;And_adf;2021;;;;;;0;0;0;0;0;;;0;0;1;0;0;0
Anthoxantum odoratum;Ant_odo;2021;;;;;;0;0;0;1;0;;;0;0;0;0;0;0
Anthyllis vulneraria;Ant_vul;2021;;;;;;1;0;0;1;0;;;0;0;0;0;0;0
Arabis alpina;Ara_alp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Arenaria sp.;Are_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Artemisia umbelliformis;Art_umb;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Asperula cynanchica;Asp_cyn;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Betula pendula;Bet_pen;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Biscutella laevigata;Bis_lae;2021;;;;;;1;1;0;0;0;;;0;0;0;0;0;0
Botrychum lunaria;Bot_lun;2021;;;;;;0;0;0;0;0;;;0;0;1;1;1;1
Campanula cochlearifolia;Cam_coc;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;1
Campanula rotundifolia;Cam_rot;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Campanula scheuchzeri;Cam_sch;2021;;;;;;1;0;0;0;1;;;1;0;0;0;0;0
Cardamine alpina;Car_alp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Cardamine resedifolia;Car_res;2021;;;;;;0;0;0;0;0;;;0;0;0;1;1;0
Carduus defloratus;Car_def;2021;;;;;;0;0;0;0;1;;;0;0;0;0;0;1
Centaurea nervosa;Cen_ner;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Cerastium alpinum;Cer_alp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Cerastium arvense;Cer_arv;2021;;;;;;0;0;0;0;1;;;1;0;0;0;1;0
Cerastium fontanum;Cer_font;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Clinopodium alpinum;Cli_alp;2021;;;;;;0;1;0;0;0;;;0;0;0;0;0;0
Coincya richeri;Coi_ric;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Deschampsia flexuosa;Des_fle;2021;;;;;;1;0;0;0;0;;;0;1;0;0;0;0
Dianthus saxicola;Dia_sax;2021;;;;;;1;0;0;0;0;;;0;0;0;0;0;0
Draba siliquosa;Dra_sil;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Epilobium dodonaei;Epi_dod;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Epilobium fleischeri;Epi_fle;2021;;;;;;0;1;0;0;0;;;0;1;0;0;0;0
Epilobium collinum;Epi_col;2021;;;;;;0;0;0;0;1;;;0;0;0;0;0;0
Equisetum sp.;Equ_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Erigeron sp.;Eri_sp.;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Erigeron uniflorus;Eri_uni;2021;;;;;;0;0;0;0;0;;;0;0;1;0;0;1
Euphorbia cyparissias;Eup_cyp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Euphrasia alpina;Eup_alp;2021;;;;;;0;0;0;0;0;;;0;0;0;0;0;0
Euphrasia minima;Eup_min;2021;;;;;;0;0;0;0;0;;;0;0;1;0;0;1
Euphrasia salizburgensis;Eup_sal;2021;;;;;;1;0;0;1;0;;;0;1;0;0;0;0
Festuca sp.;Fes_sp.;2021;;;;;;0;1;0;1;0;;;0;0;0;0;0;0
