species;year;BER_carrelet;BER_carrip;BER_claphp;BER_lacrip;BER_lactor;EYCH_meleze;EYCH_torr1;EYCH_torr2;STANDRE_arpont;STANDRE_plah;STANDRE_plabABCD;STANDRE_plabEFGH;VALL_glabl;VALL_morba;VALL_morhautABC;VALL_morhautDE;VILL_bas;VILL_haut
Hippophae rhamnoides;2021;;;;;;;;;;;;;;;;;;
Imperatoria ostruthium;2021;;;;;;;;;;1;3;+;+;;;;;
Jacobaea incana;2021;;;;;;;;;;;;;;;1;;;
Juncus trifidus;2021;;;;;;;;;;;;;;;5;;;
Larix decidua;2021;;;;;;+;;;;;;;;;;;;
Leontodon hispidus;2021;;;;;;;;;6;12;2;8;;;;;;
Leontodon pyrenaicus;2021;;;;;;;;;;;;+;;;;;;
Leontodon sp.;2021;;;;;;;;;;;;;;;;;;
Leucanthemopsis alpina;2021;;;;;;;;;;;;;+;;+;+;;1
Lotus alpinus;2021;;;;;;1;;;8;12;12;20;20;;2;;1;3
Luzula spicata;2021;;;;;;;;;;;;;;;;;;
Melampyrum pratense;2021;;;;;;;;;;;;;;;;;;
Minuartia laricifolia;2021;;;;;;8;;;;;;;;12;;;;1
Minuartia sedoides;2021;;;;;;;;;;;;;;;;;1;
Minuartia verna;2021;;;;;;;;;;;;;;;;;2;
Myosotis alpestris;2021;;;;;;;;;;;;;5;;;;;
Oxtryopis campestris;2021;;;;;;;;;;;;;;;;;;
Phleum rhaeticum;2021;;;;;;;;;;;+;1;;;;;;
Pilosella officinarum;2021;;;;;;+;;;;1;;;;;;;;
Pilosella sp.;2021;;;;;;;;;;;;;;;;;;
Plantago maritima ssp. serpentina;2021;;;;;;1;;;2;;;;;;;;;
Poa alpina;2021;;;;;;+;;;;+;1;;1;;+;1;6;3
Poa cenisia;2021;;;;;;;1;+;;;;1;8;;;;;
Poa nemoralis;2021;;;;;;;;;2;7;2;2;;;;;;
Poa supina;2021;;;;;;;;;;;+;;;;;;;
Poa sp;2021;;;;;;;;;;;;;;;;;;
Polygala sp. ;2021;;;;;;;;;;2;;;;;;;;
Polytrichum sp.;2021;;;;;;;;;;;;;;;;;;
Potentille verna;2021;;;;;;10;;;;;;;;;;;;
