species;BER_carrelet_18;BER_carrelet_18;BER_carrip_18;BER_carrip_18;BER_claphp_18;BER_claphp_18;BER_lacrip_18;BER_lacrip_18;BER_lactor_18;BER_lactor_18;EYCH_meleze_18;EYCH_meleze_18;EYCH_torr1_18;EYCH_torr1_18;EYCH_torr2_18;EYCH_torr2_18;STANDRE_arpont_18;STANDRE_arpont_18;STANDRE_plah_18;STANDRE_plah_18;STANDRE_plabABCD_18;STANDRE_plabABCD_18;STANDRE_plabEFGH_18;STANDRE_plabEFGH_18;VALL_glabl_18;VALL_glabl_18;VALL_morba_18;VALL_morba_18;VALL_morhautABC_18;VALL_morhautABC_18;VALL_morhautDE_18;VALL_morhautDE_18;VILL_bas_18;VILL_bas_18;VILL_haut_18;VILL_haut_18;BER_carrelet_21;BER_carrelet_21;BER_carrip_21;BER_carrip_21;BER_claphp_21;BER_claphp_21;BER_lacrip_21;BER_lacrip_21;BER_lactor_21;BER_lactor_21;EYCH_meleze_21;EYCH_meleze_21;EYCH_torr1_21;EYCH_torr1_21;EYCH_torr2_21;EYCH_torr2_21;STANDRE_arpont_21;STANDRE_arpont_21;STANDRE_plah_21;STANDRE_plah_21;STANDRE_plabABCD_21;STANDRE_plabABCD_21;STANDRE_plabEFGH_21;STANDRE_plabEFGH_21;VALL_glabl_21;VALL_glabl_21;VALL_morba_21;VALL_morba_21;VALL_morhautABC_21;VALL_morhautABC_21;VALL_morhautDE_21;VALL_morhautDE_21;VILL_bas_21;VILL_bas_21;VILL_haut_21;VILL_haut_21
Saxifraga bryoides;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;+;1
Saxifraga exarata;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;1;1
Saxifraga moschata;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Saxifraga paniculata;;0;;0;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;1;1;;0;;0;;0;;0;;0
Sedum album;;0;;0;;0;;0;;0;4%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Sedum alpestre;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;1%;1;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;1;1;+;1;;0;;0;;0;;0
Sedum dasyphyllum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Sedum montanum;;0;;0;;0;;0;;0;1%;1;1%;1;;1;;0;;0;;0;;0;1%;1;;0;+;1;;1;;0;;0;;;;;;;;;;;+;1;1;1;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Sempervivum arachnoideum;;0;5%;1;;0;5%;1;;0;4%;1;;0;;0;;0;;0;;0;;0;;0;4%;1;;0;;0;5%;1;1%;1;;;;;;;;;;;4;1;2;1;;0;;;;;;;;;;0;1;1;+;1;;0;10;1;;0
Sempervivum montanum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;2;1;;0;+;1;;0;;0;;0
Silene acaulis bryoides;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;3;1;3;1
Silene otites;;0;15%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Silene vulgaris prostrata;;0;;0;;0;;0;;0;;0;;0;;0;NA;1;1%;1;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Solidago virgaurea;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;+;1;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Sorbus aria;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Taraxacum sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;2%;1;;1;;0;;0;;0;;0;2%;1;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;2;1;;0
Thesium alpinum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Thesium sp. ;;0;+;1;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Thymus praecox s.l.;;0;;0;;0;NA;1;;0;2%;1;;0;;0;45%;1;;0;;0;;0;;0;4%;1;2%;1;+;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Thymus pullegiodes;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;7%;1;;;;;;;;;;;2;1;;0;;0;;;;;;;;;;0;2;1;1;1;2;1;;0;4;1
Tolpis staticifolia;;0;+;1;;0;;0;5%;1;;0;10%;1;NA;1;;0;;0;1%;1;;1;15%;1;;0;;0;2%;1;;0;;0;;;;;;;;;;;;0;5;1;2;1;;;;;;;;;8;1;;0;;0;1;1;;0;;0
Trifolium badium;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;5%;1;15%;1;;0;;0;;0;;0;;0;5%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;12;1
Trifolium campestre villosum;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Trifolium pallescens;;0;+;1;;0;;0;+;1;;0;NA;1;;1;5%;1;1%;1;;0;+;1;;0;+;1;;0;;0;8%;1;12%;1;;;;;;;;;;;2;1;1;1;;0;;;;;;;;;;0;;0;;0;;0;4;1;8;1
Trifolium saxatile;5%;1;+;1;8%;1;;0;20%;1;2%;1;10%;1;NA;1;5%;1;15%;1;5%;1;15%;1;8%;1;8%;1;4%;1;2%;1;3%;1;6%;1;;;;;;;;;;;1;1;2;1;8;1;;;;;;;;;;0;;0;1;1;1;1;4;1;2;1
Trifolium sp.;;0;;0;;0;;0;;0;8%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Trifolium thalii;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;;0;7%;1;;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;2;1;;0;4;1;+;1;;0;;0
Tussilago farfara;;0;;0;;0;;0;;0;;0;;0;;0;;0;15%;1;;0;20%;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Veronica aphylla;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;+;1
Veronica fruticans;;0;+;1;;0;;0;;0;2%;1;;0;;0;;0;;0;;0;;0;8%;1;3%;1;6%;1;;0;;0;3%;1;;;;;;;;;;;1;1;;0;;0;;;;;;;;;1;1;1;1;1;1;+;1;;0;1;1
Veronica sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Vincetoxicum hirrudinaria;;0;;0;;0;;0;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;ATTENTION : les données au propore sont dans data-bota-prabs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF;;7;;18;;2;;15;;6;;23;;9;;10;;11;;15;;20;;23;;14;;11;;18;;20;;15;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BER _ carrelet;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BER_carrelet_rip;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BER _ clapier;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BER_LAC1 rip;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BER_LAC2 torr;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EYCH_meleze;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EYCH_torr;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STANDRE_arpont;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STANDRE_planay_haut;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STANDRE_planay_TORR;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALL_glac_bl;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALL_mor_bas;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALL_mor_haut;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILL_bas;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VILL_haut;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
